source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,comm_samp,noteworthy_env_cond,replicate,size_frac_low,size_frac_up,depth,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,samp_size_mass,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON EMT21 So 211020 macro 1mm (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2021-10-20 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-20,EMT21_So_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,macro,,1,1,NA,2,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,10,2022-01-10,2022-01-11,4,2023-10-17,2023-10-17,,NA,NA,NA,EMOBON_EMT21_So_1
EMO BON EMT21 So 211020 macro 1mm (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2021-10-20 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-20,EMT21_So_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,macro,,2,1,NA,2,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,10,2022-01-10,2022-01-11,4,2023-10-17,2023-10-17,,NA,NA,NA,EMOBON_EMT21_So_2
EMO BON EMT21 So 211020 macro 1mm (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2021-10-20 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-20,EMT21_So_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,macro,,3,1,NA,2,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,10,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_3
EMO BON EMT21 So 211020 macro 1mm (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2021-10-20 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-20,EMT21_So_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,macro,,4,1,NA,2,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,10,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_4
EMO BON EMT21 So 211020 macro 500um (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2021-10-20 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-20,EMT21_So_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,macro,,1,0.5,1,2,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,10,2022-01-10,2022-01-11,4,2023-10-17,2023-10-17,,NA,NA,NA,EMOBON_EMT21_So_5
EMO BON EMT21 So 211020 macro 500um (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2021-10-20 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-20,EMT21_So_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,macro,,2,0.5,1,2,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,10,2022-01-10,2022-01-11,4,2023-10-17,2023-10-17,,NA,NA,NA,EMOBON_EMT21_So_6
EMO BON EMT21 So 211020 macro 500um (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2021-10-20 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-20,EMT21_So_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,macro,,3,0.5,1,2,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,10,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_7
EMO BON EMT21 So 211020 macro 500um (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2021-10-20 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2021-10-20,EMT21_So_211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,macro,,4,0.5,1,2,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,10,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_8
EMO BON EMT21 So 220420 macro 1mm (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21_So_220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,1,1,NA,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,,2022-10-03,2022-10-04,4,2022-11-15,2022-11-16,,NA,NA,NA,EMOBON_EMT21_So_9
EMO BON EMT21 So 220420 macro 1mm (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21_So_220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,2,1,NA,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,,2022-10-03,2022-10-04,4,2022-11-15,2022-11-16,,NA,NA,NA,EMOBON_EMT21_So_10
EMO BON EMT21 So 220420 macro 1mm (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21_So_220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,3,1,NA,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_11
EMO BON EMT21 So 220420 macro 1mm (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21_So_220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,4,1,NA,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_12
EMO BON EMT21 So 220420 macro 500um (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21 _So_ 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,1,0.5,1,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,,2022-10-03,2022-10-04,4,2022-11-15,2022-11-16,,NA,NA,NA,EMOBON_EMT21_So_13
EMO BON EMT21 So 220420 macro 500um (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21 _So_ 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,2,0.5,1,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,,2022-10-03,2022-10-04,4,2022-11-15,2022-11-16,,NA,NA,NA,EMOBON_EMT21_So_14
EMO BON EMT21 So 220420 macro 500um (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21 _So_ 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,3,0.5,1,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_15
EMO BON EMT21 So 220420 macro 500um (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-04-20 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-04-20,EMT21 _So_ 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,4,0.5,1,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_16
EMO BON EMT21 So 221028 macro 1mm (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,1,1,NA,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,,2023-06-12,2023-06-12,4,,,,NA,NA,NA,EMOBON_EMT21_So_17
EMO BON EMT21 So 221028 macro 1mm (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,2,1,NA,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,,2023-06-12,2023-06-12,4,,,,NA,NA,NA,EMOBON_EMT21_So_18
EMO BON EMT21 So 221028  macro 1mm (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,3,1,NA,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_19
EMO BON EMT21 So 221028 macro 1mm (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction NAmm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,4,1,NA,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_20
EMO BON EMT21 So 221028  macro 500um (1),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,1,0.5,1,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,,2023-06-12,2023-06-12,4,,,,NA,NA,NA,EMOBON_EMT21_So_21
EMO BON EMT21 So 221028  macro 500um (2),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,2,0.5,1,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,false,,2023-06-12,2023-06-12,4,,,,NA,NA,NA,EMOBON_EMT21_So_22
EMO BON EMT21 So 221028  macro 500um (3),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,3,0.5,1,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_23
EMO BON EMT21 So 221028 macro 500um (4),EMOBON mimarks-specimen sediment sample from station EMT21 collected on 2022-10-28 community collected macro size fraction 1mm,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,sediment [ENVO:00002007],2022-10-28,EMT21 _So_ 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,macro,,4,0.5,1,3,Van Veen Grab sampler 0.056m2,SoSOP2,NA,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,NA,NA,true,,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_EMT21_So_24
